Name,Action,Industry,Country
Computer Universe,"computeruniverse-интернет магазин компьютерных комплектующих, приостановил поставки в Россию.",NaN,Германия
Wunderground,"Wunderground - сервис получения информации о погоде, заблокировал доступ из РФ.",NaN,США
Weather.com,Weather.,NaN,США
Tikkurila,"Финский производитель лакокрасочных материалов Tikkurila объявил, что готовится уйти с российского рынка.",NaN,Финляндия
Piriform Software Ltd,"Наша миссия - упростить задачу ухода за вашими устройствами путем разработки программных средств, которые устраняют реальные проблемы.",NaN,Великобритания
yummyanime.club,Сайт для просмотра аниме ушел с РФ и отключил сайт.,NaN,Украина
FructCode,FructCode - Курсы и уроки разработки и программирования веб сайтов.,NaN,Эстония
TicketMaster,"Ticketmaster Entertainment, Inc.",NaN,США
Theme Technologies LLC ,"Theme Technologies LLC -услуги в области информационных технологий, консалтинга и бизнес-процессов.",NaN,Канада
Pexels,"Сервис бесплатных стоковых фотографий и видео Pexels закрыл доступ к своим материалам для пользователей из России, говорится в сообщении на его сайте.",NaN,Германия
Upwork ,Сайт для поиска работы фрилансерами в сфере IT и не только.,NaN,США
DMG MORI,DMG MORI — японско-немецкий станкостроительный холдинг специализирующийся на разработке и продаже ст...,NaN,Япония
MotoCMS,Продвинутый онлайн конструктор сайтов MotoCMS — это самый простой способ создать свой сайт без каких-либо знаний кода.,NaN,США
SendGrid,"SendGrid — это платформа, которая улучшит транзакционные рассылки и позволит масштабировать их для решения задач email-маркетинга.",NaN,США
G-core,"G-Core Labs — международная компания, успешно разрабатывающая умные и функциональные продукты для любых потребностей современного веба .",NaN,Люксембург
Cognet,"Cogent - один из крупнейших в мире  интернет-провайдеров, предоставляющий высококачественные услуги Интернета, Ethernet и коллокации.",NaN,США
Kaleido AI GmbH,remove.,NaN,США
Marriott,Marriott International— международная компания по управлению гостиничными сетями.,NaN,США
Pixabay,"Pixabay — это международный веб-сайт, на котором в качестве общественного достояния (по лицензии Creative Commons CC0) выложены фотографии, векторные графики и короткие видеоролики.",NaN,Германия
Canva,"Canva — кроссплатформенный сервис для графического дизайна
Закрыли доступ к сайту из РФ, закрыли доступ к поддержке - не понятно как вернуть деньги за ПРО теперь.",NaN,Австралия
Syncfusion,"Syncfusion предоставляет лучшие сторонние компоненты пользовательского интерфейса для веб-форм WinForms, WPF, ASP.",NaN,США
GTmetrix,"GTmetrix — это веб-сервис, позволяющий анализировать скорость загрузки сайта и получить рекомендации по оптимизации.",NaN,Канада
samsonite,Samsonite International S.,NaN,США
Webex,Cервис видеоконференций WebEx прекратил работу в России.,NaN,США
DeviantArt,DeviantArt — коммерческая онлайн-галерея и сообщество художников общего типа.,NaN,США
BrickLink,Маркетплейс дла продавцов и покупателей новых и б\/у деталей Лего.,NaN,США
Riot Games,Компания Riot Games собрала $5.,NaN,США
McDonald's,Американская сеть ресторанов McDonald’s объявил об уходе с российского рынка.,NaN,США
Shell,"Shell приостановила продажу топлива на заправках в России с 15 мая, программа лояльности закроется 20 мая.",NaN,Великобритания
Gett ,Компания Gett прекратит работу в России с 1 июня.,NaN,Израиль
Depesz,Depesz сайт для анализа информации.,NaN,Швеция
Downdetector,"Сервис, который позволяет узнать состояние любого другого сайта.",NaN,США
Omega,"Omega — швейцарская часовая компания, выпускающая наручные часы класса &quot;Люкс&quot; под торговой маркой Omega
.",NaN,Швейцария
Testbirds,"Testbirds, ведущий мировой провайдер краудтестинга, помогает клиентам создавать цифровые продукты.",NaN,Германия
Setapp Ltd.,"Setapp – это большая коллекция мощных программ для Mac, доступных по подписке.",NaN,Украина
PariMatch,Parimatch – крупнейший инвестор в развитие спорта на национальном и региональном уровнях.,NaN,Украина
Maxam,Maxam-специализируется на энергетических материалах.,NaN,Испания
Sercobe,"SERCOBE является национальной ассоциацией · Мы представляем более 400 компаний и групп, связанных с проектированием, производством, сборкой.",NaN,Испания
Urbatek,Торговая марка Urbatek входит в объединение PORCELANOSA Grupo и специализируется на производстве технического керамогранита.,NaN,Испания
Noken,"Noken Porcelanosa Bathrooms — компания группы PORCELANOSA, специализирующаяся на оборудовании для ванных комнат.",NaN,Испания
Butech,Компания Butech —подразделение группы Porcelanosa фирма разрабатывает новые строительные решения для...,NaN,Испания
LAntic Colonial,"Испанская сеть магазинов: элитные покрытия, сантехника и керамическая плитка для ванной и кухни.",NaN,Испания
Krion,"KRION® — материал типа «твердая поверхность» (Solid Surface) нового поколения, разработанный компанией Systempool, которая входит в группу PORCELANOSA.",NaN,Испания
Gamadecor,Gamadecor-компания производства мебели.,NaN,Испания
Venis,"Venis фабрика из Испании, известная всей Европе и миру как один из лучших производителей керамической плитки.",NaN,Испания
Porcelanosa,"Porcelanosa Group - испанский производитель, дистрибьютор и продавец керамической плитки.",NaN,Испания
TeamViewer ,TeamViewer – это ведущая международная ИТ-компания со штаб-квартирой в городе Гёппинген на юге Германии.,NaN,Германия
Refactoring Guru,,NaN,Украина
Dentsu Russia,Dentsu Russia — один из крупнейших рекламных холдингов в России.,NaN,Япония
English Dom,"EnglishDom — онлайн школа английского языка нового поколения, один из лидеров EdTech в Восточной Евр...",NaN,Кипр
VPNhub,Сервис предназначен для обхода региональных ограничений и блокировок от провайдеров.,NaN,США
DigiKey,Крупный магазин запчастей для электроники DigiKey приостановил работу магазина и сайта на территории РФ.,NaN,США
Helpcrunch,"Компания HelpCrunch перестала оказывать услуги на территории РФ, денежные средства потраченные на подписку компания перечисляет в поддержку ВСУ.",NaN,США
Kingston Technology,Компания Kingston - Крупнейший независимый производитель устройств памяти объявил о приостановке поставок в РФ в связи с ситуаций на Украине.,NaN,США
Maincast,,NaN,Украина
"LPP (Reserved, House, Cropp)","Польский производитель одежды LPP (управляет брендами Reserved, House, Cropp, Mohito и Sinsay) принял решение о продаже российского подразделения, говорится в сообщении компании.",NaN,Польша
NetApp,NetApp приостановил выпуск лицензий на территории РФ и РБ.,NaN,США
Renault,"Renault передает свои активы в РФ «городу Москве» за 1 рубль

Французский автомобильный концерн Re...",NaN,Франция
DJI,"Китайский производитель дронов DJI объявил о временном уходе из России и Украины
.",NaN,Китай
tickets.ru,,NaN,Россия
Platformio,,NaN,Украина
Test.io,"Платформа для тестировщиков по всему миру (тестирование на компьютере\/телефоне различных сайтов, приложений, устройств)Источник: https:\/\/academy.",NaN,Германия
Tebex,Tebex - магазин для монетизации игровых серверов.,NaN,Великобритания
SAP,"&lt;p&gt;SAP продолжает работать с российскими заказчиками, но приостановил заключение новых контрактов.",NaN,Германия
Momondo,&lt;p&gt;Еще один иностранный агрегатор авиабилетов перестал показывать билеты в России.,NaN,Дания
"Essity (Zewa, Libresse, Libero)","&lt;p&gt;Владеющая Zewa, Libresse и Libero компания уходит с рынка России.",NaN,Швеция
CoinPayments,&lt;p&gt;CoinPayments перестал работать на территории Российской Федерации.,NaN,Каймановы острова
SWS SkyWideSystems,Производство парашютного снаряжения.,NaN,Украина
GFI,https:\/\/www.,NaN,США
sodapdf,Этот веб-сайт не обслуживает клиентов из России и Беларуси.,NaN,Канада
